order_office,LOCFileNumber,loc_revenue_idr
FKSCLG,LOC-2-2603-001045,3737000
FKSCLG,LOC-2-2603-001046,3737000
FKSCLG,LOC-2-2603-001047,1320000
FKSCLG,LOC-2-2603-001048,900000
FKSCLG,LOC-2-2603-001049,900000
FKSCLG,LOC-2-2603-001050,900000
FKSCLG,LOC-2-2603-001055,2970000
FKSCLG,LOC-2-2603-001056,2970000
FKSCLG,LOC-2-2603-001057,6335000
FKSCLG,LOC-2-2603-001066,3010000
FKSCLG,LOC-2-2603-001067,4165000
FKSCLG,LOC-2-2603-001074,4144000
FKSCLG,LOC-2-2603-001075,4144000
FKSCLG,LOC-2-2603-001076,4144000
FKSCLG,LOC-2-2603-001077,3584000
FKSCLG,LOC-2-2603-001078,4144000
FKSCLG,LOC-2-2603-001079,4144000
FKSCLG,LOC-2-2603-001080,4144000
FKSCLG,LOC-2-2603-001081,1400000
FKSCLG,LOC-2-2603-001084,2970000
FKSCLG,LOC-2-2603-001085,2970000
FKSCLG,LOC-2-2603-001086,1925000
FKSCLG,LOC-2-2603-001087,900000
FKSCLG,LOC-2-2603-001088,900000
FKSCLG,LOC-2-2603-001089,900000
FKSCLG,LOC-2-2603-001090,2200000
FKSCLG,LOC-2-2603-001097,3737000
FKSCLG,LOC-2-2603-001098,3737000
FKSCLG,LOC-2-2603-001099,2450000
FKSCLG,LOC-2-2603-001100,5234790
FKSCLG,LOC-2-2603-001101,5231310
FKSCLG,LOC-2-2603-001102,5230614
FKSCLG,LOC-2-2603-001104,6453834
FKSCLG,LOC-2-2603-001105,1300000
FKSCLG,LOC-2-2603-001106,4144000
FKSCLG,LOC-2-2603-001107,1820000
FKSCLG,LOC-2-2603-001108,4440000
FKSCLG,LOC-2-2603-001109,4567500
FKSCLG,LOC-2-2603-001112,6557655
FKSCLG,LOC-2-2603-001113,1720000
FKSCLG,LOC-2-2603-001114,4600000
FKSCLG,LOC-2-2603-001115,4360000
FKSCLG,LOC-2-2603-001116,6448266
FKSCLG,LOC-2-2603-001117,6449310
FKSCLG,LOC-2-2603-001118,6449484
FKSCLG,LOC-2-2603-001119,6467754
FKSCLG,LOC-2-2603-001120,4144000
FKSCLG,LOC-2-2603-001121,4144000
FKSCLG,LOC-2-2603-001122,4144000
FKSCLG,LOC-2-2603-001123,4144000
FKSCLG,LOC-2-2603-001124,4144000
FKSCLG,LOC-2-2603-001125,4144000
FKSCLG,LOC-2-2603-001126,4144000
FKSCLG,LOC-2-2603-001127,4144000
FKSCLG,LOC-2-2603-001128,4144000
FKSCLG,LOC-2-2603-001130,4144000
FKSCLG,LOC-2-2603-001131,5715040
